Artist,Title,Streams,Daily,Year,Genre
Ed Sheeran,Shape of You,3835918419,1014907.0,2017,pop
Imagine Dragons,Believer,2914589572,1371607.0,2017,pop
Ed Sheeran,Perfect,2886381697,1181078.0,2017,pop
The Chainsmokers,Something Just Like This,2491547714,1505630.0,2017,house
Imagine Dragons,Thunder,2309785270,1228215.0,2017,pop
Kendrick Lamar,HUMBLE.,2146324129,1002195.0,2017,hip hop
XXXTENTACION,Jocelyn Flores,2141664515,586954.0,2017,hip hop
Shawn Mendes,Treat You Better,2099826907,1007015.0,2017,pop
Lil Uzi Vert,XO Tour Llif3,2076854142,502672.0,2017,hip hop
Dua Lipa,New Rules,2052319985,510798.0,2017,pop
Sam Smith,Too Good At Goodbyes,2006404476,865487.0,2017,pop
Shawn Mendes,There's Nothing Holdin' Me Back,1971130462,1136548.0,2017,pop
French Montana,Unforgettable,1962106900,1450275.0,2017,hip hop
Elton John,Cold Heart,1921929559,1308586.0,2017,pop
Luis Fonsi,Despacito,1711316404,457419.0,2017,pop
Future,Mask Off,1544826935,758973.0,2017,hip hop
ZAYN,Dusk Till Dawn,1633864612,763850.0,2017,pop
ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),1616859711,847340.0,2017,pop
Drake,Passionfruit,1571958968,799035.0,2017,hip hop
Dua Lipa,IDGAF,1557698826,408746.0,2017,pop
Lewis Capaldi,Someone You Loved,3304927390,1866915.0,2018,pop
Post Malone,Sunflower,3241861062,1726646.0,2018,hip hop
Post Malone,rockstar,2912289796,720907.0,2018,hip hop
Billie Eilish,lovely,2720444712,1424162.0,2018,rock
Juice WRLD,Lucid Dreams,2493382031,809774.0,2018,hip hop
Drake,God's Plan,2476103570,843468.0,2018,hip hop
Lady Gaga,Shallow,2384411311,912591.0,2018,pop
Ariana Grande,7 rings,2210909279,826877.0,2018,hip hop
XXXTENTACION,SAD!,2183820166,478148.0,2018,hip hop
Calvin Harris,One Kiss,2105724790,1044630.0,2018,house
Travis Scott,SICKO MODE,2087548814,713526.0,2018,hip hop
Marshmello,Happier,2083751735,935390.0,2018,dance
Camila Cabello,Havana,2029728196,562158.0,2018,pop
Halsey,Without Me,1994841599,727803.0,2018,pop
Post Malone,Better Now,1918679623,540324.0,2018,hip hop
Ariana Grande," thank u,next",1848897484,460672.0,2018,pop
XXXTENTACION,Moonlight,1833766805,658606.0,2018,hip hop
Charlie Puth,Attention,1759597110,596221.0,2018,pop
5 Seconds of Summer,Youngblood,1747524525,689463.0,2018,pop
The Weeknd,Call Out My Name,1714071404,1083196.0,2018,r&b
Tones And I,Dance Monkey,3021420127,672107.0,2019,pop
Shawn Mendes,Señorita,2681274398,844056.0,2019,pop
Harry Styles,Watermelon Sugar,2606732964,1466714.0,2019,pop
Dua Lipa,Don't Start Now,2538292770,812818.0,2019,pop
Billie Eilish,bad guy,2471507885,591511.0,2019,pop
Post Malone,Circles,2405693039,1141979.0,2019,pop
Taylor Swift,Cruel Summer,1956026029,4092407.0,2019,pop
Lewis Capaldi,Before You Go,1856616125,1026125.0,2019,pop
Roddy Ricch,The Box,1856290008,705571.0,2019,hip hop
Billie Eilish,when the party's over,1780098812,966403.0,2019,pop
Post Malone,Wow.,1641073889,607324.0,2019,hip hop
