Song,Artist,Country,Years
Te Bote,Nio Garcia,Argentina,2018
Sin Pijama,Becky G,Bolivia,2018
"thank u, next",Ariana Grande,Canada,2018
Atrasadinha,Felipe Araújo,Brazil,2018
Adan y Eva,Paulo Londra,Chile,2018
Calma,Pedro Capó,Colombia,2018
Culpables,KAROL G,Dominican Republic,2018
Taki Taki,DJ Snake,Costa Rica,2018
Adan y Eva,Paulo Londra,Ecuador,2018
Taki Taki,DJ Snake,El Salvador,2018
Taki Taki,DJ Snake,Guatemala,2018
God's Plan,Drake,United States,2018
Adan y Eva,Paulo Londra,Uruguay,2018
Taki Taki,DJ Snake,Nicaragua,2018
Calma,Pedro Capó,Paraguay,2018
Culpables,KAROL G,Venezuela,2018
Taki Taki,DJ Snake,Peru,2018
Taki Taki,DJ Snake,Honduras,2018
Taki Taki,DJ Snake,Mexico,2018
Señorita,Shawn Mendes,Argentina,2019
Tutu,Camilo,Bolivia,2019
Rain On Me,Lady Gaga,Canada,2019
NATTAN,Love Gostosinho,Brazil,2019
Tutu,Camilo,Chile,2019
Qué Pena,Maluma,Colombia,2019
Que Calor,Major Lazer,Dominican Republic,2019
Tutu,Camilo,Costa Rica,2019
China,Anuel AA,Ecuador,2019
Bonita,Juanes,El Salvador,2019
Tutu,Camilo,Guatemala,2019
Old Town Road,Lil Nas X,United States,2019
Tutu,Camilo,Uruguay,2019
LA CANCIÓN,J Balvin,Nicaragua,2019
Tutu,Camilo,Paraguay,2019
China,Anuel AA,Venezuela,2019
Con Calma,Daddy Yankee,Peru,2019
China,Anuel AA,Honduras,2019
Tutu,Camilo,Mexico,2019
Tusa,KAROL G,Argentina,2020
Hawái,Maluma,Bolivia,2020
Liberdade Provisória,Henrique & Juliano,Brazil,2020
Blinding Lights,The Weekend,Canada,2020
Safaera,Bad Bunny,Chile,2020
Tusa,KAROL G,Colombia,2020
La Jeepeta - Remix ,Nio Garcia ,Dominican Republic,2020
Tusa,KAROL G,Costa Rica,2020
Tusa,KAROL G,Ecuador,2020
Tusa,KAROL G,El Salvador,2020
Tusa,KAROL G,Guatemala,2020
Blinding Lights,The Weekend,United States,2020
Tusa,KAROL G,Uruguay,2020
Diosa,Myke Towers,Nicaragua,2020
RITMO (Bad Boys For Life),Black Eyed Peas,Paraguay,2020
Hawái,Maluma,Venezuela,2020
Favorito,Camilo,Peru,2020
Tusa,KAROL G,Honduras,2020
Rebota,Guaynaa,Mexico,2020
