Artist and Title,Country
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",Argentina 
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53",Argentina 
Big One - Un Finde | CROSSOVER #2,Argentina 
LIT killah - Los del Espacio,Argentina 
Luck Ra - HOLA PERDIDA,Argentina 
"Bizarrap - Milo J: Bzrp Music Sessions, Vol. 57",Argentina 
Bhavi - BESAME,Argentina 
Mesita - Una Foto Remix,Argentina 
Maria Becerra - CORAZÓN VACÍO,Argentina 
"Bizarrap - Peso Pluma: Bzrp Music Sessions, Vol. 55",Argentina 
Big One - En la Intimidad,Argentina 
Manuel Turizo - La Bachata,Argentina 
Myke Towers - LALA,Argentina 
"Bizarrap - Nicky Jam: Bzrp Music Sessions, Vol. 41",Argentina 
Duki - GIVENCHY,Argentina 
Luck Ra - La Morocha,Argentina 
BM - M.A - Remix,Argentina 
Paulo Londra - Plan A,Argentina 
Quevedo - Columbia,Argentina 
KAROL G - Tusa,Argentina 
TINI - Bar,Argentina 
Rauw Alejandro - Todo De Ti,Argentina 
"Bizarrap - Young Miko: Bzrp Music Sessions, Vol. 58",Argentina 
Emilia - La_Original.mp3,Argentina 
Maluma - Hawái,Argentina 
"Bizarrap - Duki: Bzrp Music Sessions, Vol. 50",Argentina 
KAROL G - TQG,Argentina 
TINI - Miénteme,Argentina 
BM - M.A (Mejores Amigos),Argentina 
Ke Personajes - Pobre Corazón,Argentina 
Luck Ra - Ya No Vuelvas (Versión Cuarteto),Argentina 
Yng Lvcas - La Bebe - Remix,Argentina 
Bad Bunny - Dakiti,Argentina 
Tiago PZK - Entre Nosotros,Argentina 
FloyyMenor - Gata Only,Argentina 
ROSALÍA - DESPECHÁ,Argentina 
Bizarrap - Fruto,Argentina 
Bad Bunny - DÁKITI,Argentina 
BM - Ni Una Ni Dos,Argentina 
Ke Personajes - Pobre Corazón - En Vivo,Argentina 
TINI - Muñecas,Argentina 
MYA - 2:50 Remix,Argentina 
Luck Ra - QUE ME FALTE TODO,Argentina 
Rei - Tu Turrito,Argentina 
Grupo Frontera - un x100to,Argentina 
Rels B - cómo dormiste?,Argentina 
Darell - Lollipop,Argentina 
Kaleb Di Masi - Turraka - Remix,Argentina 
Tiago PZK - Me Enteré,Argentina 
J Balvin - Qué Más Pues?,Argentina 
"Bizarrap - L-Gante: Bzrp Music Sessions, Vol.38",Argentina 
"Bizarrap - Paulo Londra: Bzrp Music Sessions, Vol. 23",Argentina 
Emilia - Como Si No Importara,Argentina 
"La Mosca Tse-Tse - Muchachos, Ahora Nos Volvimos a Ilusionar",Argentina 
El Turko - 30 GRADOS,Argentina 
TINI - Cupido,Argentina 
Rusherking - Además de Mí - Remix,Argentina 
LiL CaKe - MERCHO,Argentina 
Feid - Classy 101,Argentina 
Taiu - Rara Vez,Argentina 
Roze Oficial - Inocente,Argentina 
Tiago PZK - Entre Nosotros (Remix) [con Nicki Nicole],Argentina 
Tiago PZK - Piel,Argentina 
Mesita - Una Foto,Argentina 
Eslabon Armado - Ella Baila Sola,Argentina 
"BANDIDO - No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",Argentina 
Quevedo - PUNTO G,Argentina 
Emilia - GTA.mp3,Argentina 
DJ Tao - ROZE | DJ TAO Turreo Sessions #22,Argentina 
Salastkbron - Un Besito Más,Argentina 
Cris Mj - Marisola - Remix,Argentina 
Tiago PZK - Salimo de Noche,Argentina 
YSY A - CÓMO CHILLA ELLA,Argentina 
KAROL G - BICHOTA,Argentina 
Migrantes - Si Me Tomo Una Cerveza,Argentina 
Anuel AA - China,Argentina 
Pedro Capó - Calma - Remix,Argentina 
Sech - Otro Trago,Argentina 
"Bizarrap - Tiago PZK: Bzrp Music Sessions, Vol. 48",Argentina 
Emilia - Exclusive.mp3,Argentina 
Trueno - Mamichula,Argentina 
Paulo Londra - Adan y Eva,Argentina 
La T y La M - Pa’ la Selección,Argentina 
Yandel - Yandel 150,Argentina 
Maria Becerra - AUTOMÁTICO,Argentina 
TWENTY SIX - Buscando Money,Argentina 
"Nicki Nicole - Nicki Nicole: Bzrp Music Sessions, Vol. 13",Argentina 
Marka Akme - Linda - Remix,Argentina 
Miley Cyrus - Flowers,Argentina 
Salastkbron - Tal Para Cual,Argentina 
Luis Fonsi - Despacito (Featuring Daddy Yankee),Argentina 
Bad Bunny - Me Porto Bonito,Argentina 
Bizarrap - Toy en el Mic,Argentina 
Bizarrap - YaMeFui,Argentina 
Maria Becerra - ADIÓS,Argentina 
iñigo quintero - Si No Estás,Argentina 
Miranda! - Perfecta (Versión 2023),Argentina 
Grupo Frontera - OJITOS ROJOS,Argentina 
Myke Towers - Bandido,Argentina 
La Joaqui - Dos Besitos,Argentina 
Bad Bunny - Yonaguni,Argentina 
Feid - LUNA,Argentina 
Big One - Mentiras | CROSSOVER #3,Argentina 
TINI - La Triple T,Argentina 
Marama - Bronceado - Remix,Argentina 
Maria Becerra - Wow Wow,Argentina 
Big One - Lágrimas | CROSSOVER #4,Argentina 
Emilia - No_se_ve.mp3,Argentina 
