song,artist,Hot100 Rank,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,song_id,genre,streams
SMOOTH,SANTANA FEATURING ROB THOMAS,1,spotify:track:0n2SEXB2qoRQg171q7XqeW,0.609,0.923,9,-3.908,1,0.0338,0.16,4.73e-06,0.295,0.961,115.996,294987,4,44.2353,11,0n2SEXB2qoRQg171q7XqeW,rock,1104026.0
HOW DO I LIVE,LEANN RIMES,2,spotify:track:7BD50ATrF3Vab5FQy7vtK8,0.577,0.462,2,-7.989,1,0.0279,0.128,0.0,0.0822,0.258,128.303,266973,4,43.73251,11,7BD50ATrF3Vab5FQy7vtK8,country,27593.0
MACARENA (BAYSIDE BOYS MIX),LOS DEL RIO,3,spotify:track:4oaj36KzXRgDg4McgcTsZK,0.927,0.721,8,-12.561,1,0.0908,0.422,4.36e-05,0.0422,0.965,103.018,249382,4,25.74047,15,4oaj36KzXRgDg4McgcTsZK,pop,287877.0
UN-BREAK MY HEART,TONI BRAXTON,4,spotify:track:5Ihd9HrPvOADyVoonH9ZjB,0.625,0.426,2,-8.392,0,0.0271,0.413,0.0,0.116,0.112,110.018,270333,4,53.40658,9,5Ihd9HrPvOADyVoonH9ZjB,pop,337523.0
DOWN SO LONG,JEWEL,5,spotify:track:5WmOYQAMavY2nk7tktsPbZ,0.611,0.55,9,-8.611,0,0.0436,0.306,0.00659,0.112,0.622,78.501,255147,4,36.83087,10,5WmOYQAMavY2nk7tktsPbZ,rock,1164072.0
(EVERYTHING I DO) I DO IT FOR YOU,BRYAN ADAMS,6,spotify:track:6eBK3edMW7bEzecF1eCezc,0.526,0.365,1,-12.605,1,0.028,0.0775,1.35e-05,0.0618,0.253,131.253,394133,4,27.3344,16,6eBK3edMW7bEzecF1eCezc,rock,151773.0
I'LL MAKE LOVE TO YOU,BOYZ II MEN,7,spotify:track:61sQYdFNS6sEBYCyr1q5gn,0.567,0.501,2,-8.038,1,0.0241,0.0995,0.0,0.0986,0.2,142.589,236773,3,40.16776,11,61sQYdFNS6sEBYCyr1q5gn,pop,553309.0
TOO CLOSE,NEXT,8,spotify:track:5IFCyWplye09HytIP80RCF,0.847,0.402,7,-9.952,1,0.0641,0.0118,0.0,0.283,0.752,99.693,259440,4,22.96498,12,5IFCyWplye09HytIP80RCF,pop,286551.0
ONE SWEET DAY,MARIAH CAREY & BOYZ II MEN,9,spotify:track:7ySbfLwdCwl1EM0zNCJZ38,0.569,0.495,1,-8.964,1,0.03,0.353,0.0,0.0839,0.302,128.228,281067,4,19.90171,11,7ySbfLwdCwl1EM0zNCJZ38,pop,280673.0
TRULY MADLY DEEPLY,SAVAGE GARDEN,10,spotify:track:013AWvizllIUEC2FOBzOnh,0.555,0.698,0,-8.874,1,0.0287,0.403,0.0,0.0851,0.816,168.12,277267,4,47.98965,11,013AWvizllIUEC2FOBzOnh,pop,462733.0
