Song,Artist Names,Hot100 Rank,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
Physical,Olivia Newton-John,1,spotify:track:3hVrI7snZMTmHCnbwME47u,0.834,0.633,4,-11.442,0,0.0422,0.0631,5e-05,0.313,0.904,123.815,224773,4,46.3982,9,1
Bette Davis Eyes,Kim Carnes,2,spotify:track:0odIT9B9BvOCnXfS0e4lB5,0.675,0.649,5,-10.271,1,0.0319,0.0204,0.0,0.0959,0.596,116.624,228000,4,42.02573,9,1
Endless Love,Diana Ross & Lionel Richie,3,spotify:track:0FGxAEMIE5GhyFqFMHRWaO,0.456,0.332,10,-9.775,1,0.025,0.665,0.000248,0.138,0.237,93.633,266267,4,38.48246,11,1
Eye Of The Tiger,Survivor,4,spotify:track:2KH16WveTQWT6KOG9Rg6e2,0.817,0.599,0,-9.249,0,0.0328,0.132,0.000311,0.0873,0.548,108.873,245640,4,26.24707,12,1
Every Breath You Take,The Police,5,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,253920,4,69.63651,8,1
Flashdance...What A Feeling,Irene Cara,6,spotify:track:0FIQjzPGk8eJd1cDRHRFWb,0.637,0.63,7,-8.166,0,0.0372,0.138,3.79e-06,0.214,0.59,124.913,234040,4,103.21291,8,1
Another One Bites The Dust,Queen,7,spotify:track:57JVGBtBLCfHw2muk5416J,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,214653,4,38.17584,11,1
The Way You Make Me Feel,Michael Jackson,8,spotify:track:0sKlV58cODrjxGFOyf9IXY,0.877,0.854,1,-4.523,1,0.147,0.0544,5.5e-05,0.144,0.54,114.472,298120,4,37.46946,10,1
Call Me,Blondie,9,spotify:track:7HKxTNVlkHsfMLhigmhC0I,0.554,0.833,2,-6.667,0,0.0347,0.000646,0.0025,0.0737,0.773,142.673,212227,4,31.90418,11,1
Lady,Kenny Rogers,10,spotify:track:5lllSpYR5kRirQk8g2rIwa,0.488,0.232,2,-12.486,0,0.0291,0.747,7.2e-06,0.115,0.249,140.173,231040,4,24.48649,10,1
Centerfold,The J. Geils Band,11,spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt,0.653,0.677,0,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.37,216533,4,42.84621,8,1
(Just Like) Starting Over,John Lennon,12,spotify:track:5y0YreEOnQiKFAnCrcFIXz,0.701,0.79,9,-6.16,1,0.0725,0.301,6.06e-05,0.179,0.421,99.104,236547,4,23.90755,10,1
I Love Rock 'N' Roll,Joan Jett & The Blackhearts,13,spotify:track:2Cdvbe2G4hZsnhNMKyGrie,0.535,0.716,4,-5.025,1,0.0431,0.326,0.0,0.659,0.901,94.379,175173,4,31.41471,6,1
Ebony And Ivory,Paul McCartney And Stevie Wonder,14,spotify:track:3fVSMbeq8tY3G85yxcJwRU,0.567,0.692,4,-7.881,1,0.0379,0.0784,0.0,0.0338,0.708,160.697,226267,4,27.18246,11,1
After You,Dionne Warwick,15,spotify:track:5Cxv11eVuzxA2uQGlEIitQ,0.354,0.316,2,-9.798,1,0.0262,0.137,4.21e-05,0.111,0.215,65.833,241440,4,21.88173,10,1
Upside Down,Diana Ross,16,spotify:track:3pbtBomO4Zt5gGiqsYeiBH,0.873,0.855,5,-8.559,0,0.0615,0.178,0.0282,0.0377,0.884,107.868,245600,4,41.60987,11,1
Billie Jean,Michael Jackson,17,spotify:track:5ChkMS8OtdzJeqyybCc9R5,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,293827,4,29.591,14,1
Abracadabra,The Steve Miller Band,18,spotify:track:2E2ZVy2fxslpAUgbb4zu84,0.791,0.535,9,-13.261,0,0.0355,0.0749,1.96e-06,0.156,0.963,127.488,308373,4,76.92282,12,1
"Say You, Say Me",Lionel Richie,19,spotify:track:17CPezzLWzvGfpZW6X8XT0,0.636,0.405,8,-11.113,1,0.0287,0.355,0.0,0.0804,0.257,128.068,241067,4,49.22659,10,1
All Night Long (All Night),Lionel Richie,20,spotify:track:2Wb9ejnmy27DUTUe9YF5Ew,0.739,0.576,1,-12.024,1,0.0472,0.122,0.00206,0.0482,0.78,108.81,260427,4,37.89631,14,1
Waiting For A Girl Like You,Foreigner,21,spotify:track:2OgVsp77En2nju8pnCieVU,0.33,0.469,10,-9.286,0,0.0335,0.31,2.3e-06,0.0402,0.433,201.327,292067,4,34.0659,13,1
